playlist_title,playlist_url,video_title,video_url
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,Online consultation for patients with chronic insomnia and physical weakness,https://www.youtube.com/watch?v=QAp9i9Hv19w
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,Theo dõi và điều trị ung thư tuyến giáp thể nhú sau phẫu thuật I BV Đại học Y Hà Nội,https://www.youtube.com/watch?v=tCWaFCS7rHo
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,"Consultation of patients with acute phase of chronic renal failure I, Hanoi Medical University Ho...",https://www.youtube.com/watch?v=fY4Y4ItxR0w
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,"Hội chẩn trực tuyến bệnh nhân đau dây thần kinh số V, thoái hóa cột sống cổ, THA|BV Đại học Y Hà Nội",https://www.youtube.com/watch?v=cvTZ84QfC8Q
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,Hội chẩn trực tuyến bệnh nhân mắc bệnh Gout I BV Đại học Y Hà Nội,https://www.youtube.com/watch?v=q0uxXEZuvww
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,"Consultation of patients with gastritis and anxiety disorder I, Hanoi Medical University Hospital",https://www.youtube.com/watch?v=MxXFBlnJyZk
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,Hội chẩn trực tuyến bệnh nhân viêm tụy cấp do tăng Triglycerid | BV Đại học Y Hà Nội,https://www.youtube.com/watch?v=aQdgShGvXwQ
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,"Hội chẩn BN thoái hóa cột sống thắt lưng, xẹp thân đốt sống, thoát vị đĩa đệm I BV Đại học Y Hà Nội",https://www.youtube.com/watch?v=jMKva7BU_mk
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,"Consultation for patients with unexplained weight loss, sleep disorders, and colitis I, Hanoi Med...",https://www.youtube.com/watch?v=J20t88zsDSw
Hội Chẩn Trực Tuyến Bệnh Viện Đại Học Y Hà Nội,https://www.youtube.com/playlist?list=PLCDo7Kgzy2qlCvtZu3bbIoTqc1aGG9hGd,Hội chẩn BN liệt dây VII ngoại biên bên phải I BV Đại học Y Hà Nội,https://www.youtube.com/watch?v=_cfxgi-X3yE
