Category,Title,URL,Duration (hours)
hội chẩn trực tuyến,"Ca bệnh ""Xuất huyết não đã mở sọ / THA - ST - WPW"" - TT Đào tạo & Chỉ đạo tuyến, Bệnh viện Bạch Mai",https://www.youtube.com/watch?v=TEedAG-mvTU,0.42
hội chẩn trực tuyến,"Hội chẩn trực tuyến bệnh nhân viêm khớp dạng thấp, đái tháo đường, THA, hội chứng Cushing",https://www.youtube.com/watch?v=u-7ibpomOMQ,0.31
hội chẩn trực tuyến,"Ca bệnh ""Sốt kéo dài / Viêm gan C - Nghiện rượu"" - Trung tâm Đào tạo - Chỉ đạo tuyến, BV Bạch Mai",https://www.youtube.com/watch?v=1bPAwcmh9HI,0.38
hội chẩn trực tuyến,Báo cáo bệnh nhân cũ và Hội chẩn bệnh nhân sỏi thận 2 bên I BV Đại học Y Hà Nội,https://www.youtube.com/watch?v=LE_mA7t89WU,0.37
hội chẩn trực tuyến,"Ca bệnh ""Tràn dịch màng phổi / VPQ mạn - Suy thận"" - TT Đào tạo - Chỉ đạo tuyến, Bệnh viện Bạch Mai.",https://www.youtube.com/watch?v=x6p9ALhC1qs,0.39
hội chẩn trực tuyến,Hội chẩn trực tuyến Đa khoa,https://www.youtube.com/watch?v=5FaNFAiPO5I,0.9
hội chẩn trực tuyến,"Hội chẩn bệnh nhân nhồi máu cơ tim, sốc tim I BV Đại học Y Hà Nội",https://www.youtube.com/watch?v=4-JCPLJgzxQ,0.37
hội chẩn trực tuyến,Đào tạo - Hội chẩn trực tuyến Chuyên Ngành Nội tiết | TS. Nguyễn Quang Bảy,https://www.youtube.com/watch?v=CeOt6FkmqfU,2.14
hội chẩn trực tuyến,"Ca bệnh ""Viêm phổi bệnh viện - TR XHTH trên"" - TT Đào tạo - Chỉ đạo tuyến, Bệnh viện Bạch Mai.",https://www.youtube.com/watch?v=EUzZliOqNAQ,0.4
hội chẩn trực tuyến,Đào tạo | Hội chẩn trực tuyến Đa khoa | Bệnh viện Bạch Mai,https://www.youtube.com/watch?v=SGVQTkRSkG4,1.59
hội chẩn trực tuyến,Cập nhập chẩn đoán và điều trị loãng xương | BV Đại học Y Hà Nội,https://www.youtube.com/watch?v=52WMWxLV820,0.67
hội chẩn trực tuyến,"Ca bệnh ""Nhồi máu cơ tim cấp""",https://www.youtube.com/watch?v=tfchzqlgCX4,0.64
hội chẩn trực tuyến,"Ca bệnh ""Hội chứng suy gan cấp"" - Trung tâm Đào tạo - Chỉ đạo tuyến, Bệnh viện Bạch Mai",https://www.youtube.com/watch?v=_gCOLXIwzMg,0.37
hội chẩn trực tuyến,Hội chẩn bệnh nhân xơ gan (BV Đại học Y Hà Nội),https://www.youtube.com/watch?v=cGbmPH65wq8,0.25
hội chẩn trực tuyến,"Hội chẩn trực tuyến bệnh nhân viêm tụy cấp, sỏi túi mật",https://www.youtube.com/watch?v=Ik_oxEBwwmI,0.28
hội chẩn trực tuyến,"Ca bệnh ""U gan phải - TD K gan / Viêm gan B"" - Trung tâm Đào tạo - Chỉ đạo tuyến, BV Bạch Mai.",https://www.youtube.com/watch?v=EtFbTsOqPk4,0.35
hội chẩn trực tuyến,"Chương trình tư vấn hội chẩn khám, chữa bệnh từ xa của Bệnh viện K",https://www.youtube.com/watch?v=oxNQHYWw7aE,2.11
hội chẩn trực tuyến,"Hội chẩn trực tuyến BN suy tim cấp, phù phổi cấp, rung nhĩ",https://www.youtube.com/watch?v=LSXsXwCoE3k,0.51
hội chẩn trực tuyến,"Hội chẩn bệnh nhân xơ gan mất bù, viêm phổi, suy thận mạn I BV Đại học Y Hà Nội",https://www.youtube.com/watch?v=ATLdZ2tUP6w,0.28
hội chẩn trực tuyến,"Hội chẩn trực tuyến bệnh nhân xơ gan cổ trướng, viêm gan C",https://www.youtube.com/watch?v=SKAQ7MqYu8w,0.44
hội chẩn trực tuyến,"Hội chẩn bệnh nhân hội chứng thận hư, Lupus, suy thận, THA, ĐTĐ I BV ĐH Y Hà Nội",https://www.youtube.com/watch?v=PCT9qs9B8so,0.52
hội chẩn trực tuyến,"Consultation of patients with septic shock, pneumonia, heart failure, kidney failure I, Hanoi Med...",https://www.youtube.com/watch?v=DCz0dtuaGuw,0.31
hội chẩn trực tuyến,"Hội chẩn BN viêm phế quản, theo dõi Sarcoidosis không loại trừ U lympho non Hodgkin I BV Bạch Mai",https://www.youtube.com/watch?v=_bWaeX7Yrnk,0.47
hội chẩn trực tuyến,"Hội chẩn bệnh nhân liệt cứng sau chấn thương sọ não, theo dõi viêm phổi I BV Đại học Y Hà Nội",https://www.youtube.com/watch?v=zeTR9eqJn9s,0.42
hội chẩn trực tuyến,"Hội chẩn trực tuyến bệnh nhân nhiễm khuẩn tiết niệu, viêm phổi, xuất huyết não | Bệnh viện Bạch Mai",https://www.youtube.com/watch?v=4kzFevyR1hU,0.76
hội chẩn trực tuyến,"Đào tạo trực tuyến: ""Viêm thận Lupus""",https://www.youtube.com/watch?v=Z7AlIdUE3iw,0.68
hội chẩn trực tuyến,"Hội chẩn BN Suy tim phân suất tống máu giảm, rung nhĩ mạn, xơ gan",https://www.youtube.com/watch?v=a_pMZ7XC1-I,0.29
hội chẩn trực tuyến,"Hội chẩn BN thai 29 tuần tiền sản giật, kèm cơn đau thắt ngực I BV Bạch Mai",https://www.youtube.com/watch?v=z1jSQO2l5Qc,0.44
hội chẩn trực tuyến,Báo cáo bệnh nhân cũ và hội chẩn bệnh nhân rối loạn nhịp tim I BV Đại học Y Hà Nội,https://www.youtube.com/watch?v=Z-fK3YDLiiQ,0.31
hội chẩn trực tuyến,"Hội chẩn bệnh nhân tăng áp lực động mạch phổi nguyên phát, suy tim phải (BV Đại học Y Hà Nội)",https://www.youtube.com/watch?v=YbO8-Z_wCB4,0.38
hội chẩn trực tuyến,Hội chẩn trực tuyến bệnh nhân thoát vị đĩa đệm,https://www.youtube.com/watch?v=7VlZIJ5QWOc,0.31
hội chẩn trực tuyến,Hội chẩn trực tuyến Khoa nhi Bệnh viện Quận 6 - Bệnh án Hen - Ngày 04/10/2024,https://www.youtube.com/watch?v=f5Dm-AT0euY,0.86
hội chẩn trực tuyến,"Báo cáo bệnh nhân cũ và hội chẩn bệnh nhân nang chân răng, viêm mũi xoang cấp I BV ĐH Y Hà Nội",https://www.youtube.com/watch?v=3ZHjqth9ebw,0.4
hội chẩn trực tuyến,"Ca bệnh ""Viêm phổi / Tăng huyết áp - ĐTĐ2"" - Trung tâm Đào tạo - Chỉ đạo tuyến, Bệnh viện Bạch Mai.",https://www.youtube.com/watch?v=Jwaqzh_Q0x4,0.76
hội chẩn trực tuyến,Hội chẩn trực tuyến Khoa nhi - Bệnh viện đa khoa vùng Tây Nguyên - Bệnh án Sởi - Ngày 20/09/2024,https://www.youtube.com/watch?v=bPKhDZQvcIM,0.87
hội chẩn trực tuyến,Hội chẩn trực tuyến ngày 15/07/2020 tại Bệnh viện Tim Hà Nội,https://www.youtube.com/watch?v=QmgIGgmoHHc,1.08
hội chẩn trực tuyến,"Hội chẩn bệnh nhân đợt cấp COPD, tâm phế mạn, tăng huyết áp I BV Bạch Mai",https://www.youtube.com/watch?v=1P0auJdOWIo,0.42
hội chẩn trực tuyến,"Hội chẩn bệnh nhân suy tim, tràn dịch màng phổi, u phổi (BV Đại học Y Hà Nội)",https://www.youtube.com/watch?v=Ma_utC0Nk4E,0.29
hội chẩn trực tuyến,Hội chẩn trực tuyến bệnh nhân u hạch bạch huyết vùng cổ,https://www.youtube.com/watch?v=waH21p6CT0Q,0.26
hội chẩn trực tuyến,"Hội chẩn BN thoái hóa khớp gối 2 bên nguyên phát giai đoạn 3, THA, ĐTĐ I BV Bạch Mai",https://www.youtube.com/watch?v=2lrv2yj3kNk,0.32
hội chẩn trực tuyến,Hội chẩn trực tuyến chuyên ngành hô hấp,https://www.youtube.com/watch?v=HLjN5XZ6DOQ,2.03
hội chẩn trực tuyến,BVĐK TỈNH QUẢNG TRỊ THAM GIA HỘI CHẨN TRỰC TUYẾN - CHƯƠNG TRÌNH KHÁM CHỮA BỆNH TỪ XA - TELEHEALTH,https://www.youtube.com/watch?v=Zd3bQOIH-Uk,0.63
hội chẩn trực tuyến,"Hội chẩn bệnh nhân lao phổi AFB dương tính, sốt kéo dài I BV Bạch Mai",https://www.youtube.com/watch?v=JcslCVFbl9I,0.37
hội chẩn trực tuyến,Hội chẩn trực tuyến các case lâm sàng về bệnh phổi ngày 28/09/2022. BV Phổi TW,https://www.youtube.com/watch?v=4708lXXBNbg,1.56
hội chẩn trực tuyến,"Hội chẩn BN u lành tính tuyến tiền liệt, THA, u đại tràng, u gan | BV Bạch Mai",https://www.youtube.com/watch?v=Vr6nilesCJc,0.36
hội chẩn trực tuyến,"Hội chẩn, tư vấn, khám chữa bệnh từ xa:   Bệnh Charcot (ALS)",https://www.youtube.com/watch?v=ZH09oOgIvEU,0.32
hội chẩn trực tuyến,"Hội chẩn bệnh nhân U tuyến yên, ĐTĐ, tăng huyết áp I BV Đại học Y Hà Nội",https://www.youtube.com/watch?v=nQgJILCoj9Q,0.35
hội chẩn trực tuyến,"Báo cáo BN cũ và hội chẩn BN gãy mấu chuyển xương đùi, Tăng huyết áp, rung nhĩ I BV ĐH Y Hà Nội",https://www.youtube.com/watch?v=wBE5Zje0za4,0.46
hội chẩn trực tuyến,"Hội chẩn BN đau ngực, sốt, gai rét, khó thở tăng dần I BV Tim Hà Nội",https://www.youtube.com/watch?v=sGfYiuvlaDg,0.38
hội chẩn trực tuyến,Hội chẩn trực tuyến ngày 01/11/2024 - Bệnh viện đa khoa KonTum - Ba thận,https://www.youtube.com/watch?v=gqtgfVTGhx0,1.09
hội chẩn trực tuyến,HỘI CHẨN TRỰC TUYẾN BỆNH VIỆN BẠCH MAI 16/9/2020 P2,https://www.youtube.com/watch?v=lM6BkM97KrA,0.28
hội chẩn trực tuyến,BVĐK HẬU LỘC THAM GIA HỘI CHẨN TRỰC TUYẾN CÙNG BV ĐẠI HỌC Y HÀ NỘI THÔNG QUA CHƯƠNG TRÌNH TELEHEALTH,https://www.youtube.com/watch?v=OAD9Epg10dg,0.26
hội chẩn trực tuyến,"Hội chẩn bệnh nhân đột quỵ chảy máu não kèm theo rung nhĩ, ĐTĐ | Bệnh viện Bạch Mai",https://www.youtube.com/watch?v=tuIjwoleGPc,0.37
hội chẩn trực tuyến,"Hội chẩn BN viêm phổi, hội chứng suy hô hấp cấp tiến triển ARDS, suy đa tạng",https://www.youtube.com/watch?v=5jKEOH5P7xc,0.31
hội chẩn trực tuyến,"Hội chẩn BN Rung nhĩ, ngoại tâm thu thất, Suy tim",https://www.youtube.com/watch?v=OIgvRipfCQY,0.32
hội chẩn trực tuyến,"Hội chẩn bệnh nhân rối loạn chức năng tiền đình, liệt tứ chi I BV Đại học Y Hà Nội",https://www.youtube.com/watch?v=dkumqQDCYt0,0.49
hội chẩn trực tuyến,BVĐK TỈNH QUẢNG TRỊ THAM GIA HỘI CHẨN TRỰC TUYẾN - CHƯƠNG TRÌNH KHÁM CHỮA BỆNH TỪ XA - TELEHEALTH,https://www.youtube.com/watch?v=-9NkVsSY_Mw,0.63
